procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  59456  76540   3684  29076    1    4    16     8  128  177  4  1 94  0
 0  0  59456  76572   3684  29128    0    0     0     0   80   93  0  0 100  0
 0  0  59456  76564   3692  29140    0    0     0    44   63  106  0  0 100  0
 0  0  59456  76564   3692  29144    0    0     0     0   64   99  0  0 100  0
 0  0  59456  76316   3720  29268    0    0   152     0   87  132  0  0 100  0
 0  0  59456  76316   3720  29268    0    0     0     0   71  108  0  0 100  0
 0  0  59440  74828   3728  30620  156    0  1540     0  128  173  0  1 99  0
 0  0  59440  74828   3728  30644    0    0     0    28   75  106  0  0 100  0
 0  0  59440  74828   3728  30644    0    0     0     0   66  105  0  0 99  0
 0  0  59440  74828   3736  30636    0    0     0    20   80  112  1  0 99  0
 2  2  59440  74756   3736  30744    0    0    72     0  143  162  0  1 98  0
 1  0  59440  36548   3748  48488    0    0 17772     0 1628 1567 20  7 67  6
 0  0  59440  24164   3768  53988    0    0  5496     0  703 1060 22  2 76  1
 0  0  59436  23296   3768  53988    0    0     0     0  268  415 10  1 89  0
 0  0  59436  22676   3768  53988    0    0     0     0  239  368 10  1 90  0
 0  0  59436  22428   3768  53988    0    0     0     0  251  415 11  1 89  0
 0  0  59436  21684   3776  53992    0    0     0    76  304  490 11  1 88  0
 0  0  59436  21188   3776  54012    0    0    20     0  290  457 11  0 89  0
 0  0  59436  20320   3776  54012    0    0     0     0  350  563 10  2 88  0
 0  0  59436  20072   3776  54012   32    0    32     0  284  423 11  0 88  0
 0  0  59436  19452   3776  54012    0    0     0     0  304  449 11  1 88  0
 0  0  59436  19204   3784  54012    0    0     0    24  271  424 11  0 89  0
 0  0  59436  19080   3784  54012    0    0     0     0  443  655 11  1 88  0
 0  0  59436  18584   3784  54012    0    0     0     0  258  412 10  0 90  0
 0  0  59436  18460   3784  54012    0    0     0     0  314  504  9  0 90  0
 0  0  59432  18336   3784  54012    0    0     0     0  252  364 12  0 88  0
 0  0  59432  17840   3784  54012    0    0     0     0  257  382 10  1 90  0
 0  0  59432  17840   3792  54012    0    0     0    36  328  553 11  1 87  0
 0  0  59432  16972   3792  54012    0    0     0     0  263  389 10  1 88  0
 0  0  59428  16972   3792  54012   32    0    32     0  254  379 10  0 89  0
 0  0  59428  16360   3792  54012    0    0     0     0  248  387 11  0 88  0
 0  0  59428  16352   3792  54012    0    0     0     0  256  356  9  1 90  0
 0  0  59428  15112   3800  54004    0    0     0    20  273  474 12  2 86  0
 0  0  59428  14988   3800  54012    0    0     0     0  253  375 10  0 89  0
 0  0  59428  14616   3800  54012    0    0     0     0  228  383  9  1 90  0
 0  0  59428  14492   3800  54012    0    0     0     0  246  330 10  1 89  0
 0  0  59428  13756   3800  54012    0    0     0     0  286  393 12  2 86  0
 0  0  59428  13376   3812  54004    0    0     4    32  253  447 10  1 89  0
 0  0  59428  12632   3812  54012    0    0     0     0  249  388 11  0 89  0
 0  0  59428  12376   3812  54012    0    0     0     0  215  353  8  0 92  0
 0  0  59428  10400   3812  54012    0    0     0     0  220  395  9  1 90  0
 0  0  59424  10136   3812  54020    0    0     0     0  267  391 11  1 89  0
 0  0  59424   9888   3812  54016    0    0     0    84  255  400 10  1 88  0
 0  0  59424   8756   3820  54016    0    0     0    52  263  375 11  1 88  0
 0  0  59424   8664   3820  54016    0    0     0     0  236  326 11  1 89  0
 0  0  59424   8432   3820  54016    0    0     0     0  258  355 10  0 89  0
 1  0  59424   7904   3820  54016    0    0     0     0  264  363 11  1 88  0
 0  0  59820   8796   3800  53080    0  396     0   400  298  434 12  0 87  0
 0  0  59820   8896   3808  53060    0    0     0    36  245  365 10  1 89  0
 0  0  59820   8160   3808  53068    0    0     0     0  250  377  9  0 91  0
 0  0  59820   7788   3808  53068    0    0     0     0  237  360  9  0 90  0
MEDIA
NR:  53 CPU:  9.39216
